Type,SKU,Name,Published,Categories,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Regular price
simple,FLY-001,Flydigi Dune Fox - Trắng,1,Tay cầm,Brand,Flydigi,1,1,
simple,FLY-002,Flydigi Dune Fox - Hồng,1,Tay cầm,Brand,Flydigi,1,1,
simple,FLY-003,Flydigi Direwolf 4,1,Tay cầm,Brand,Flydigi,1,1,
simple,FLY-004,Flydigi Vader 5 Pro,1,Tay cầm,Brand,Flydigi,1,1,
simple,FLY-005,Flydigi Apex 5,1,Tay cầm,Brand,Flydigi,1,1,
simple,FLY-006,Flydigi Dock sạc 2 Pro - Trắng,1,Phụ kiện,Brand,Flydigi,1,1,
simple,FLY-007,Flydigi Dock sạc 2 Pro - Đen,1,Phụ kiện,Brand,Flydigi,1,1,
simple,FLY-008,Flydigi Dock sạc 2,1,Phụ kiện,Brand,Flydigi,1,1,
simple,FLY-009,Flydigi Túi đựng,1,Phụ kiện,Brand,Flydigi,1,1,
simple,FLY-010,Flydigi Củ sạc 30W,1,Phụ kiện,Brand,Flydigi,1,1,
simple,FLY-011,Flydigi BS3,1,Đế tản nhiệt,Brand,Flydigi,1,1,
simple,FLY-012,Flydigi BS3 Pro,1,Đế tản nhiệt,Brand,Flydigi,1,1,
simple,FLY-013,Flydigi BS3 Pro EVA,1,Đế tản nhiệt,Brand,Flydigi,1,1,
simple,NOB-001,Nobrand A102 - Trắng/Đen,1,Tay cầm,Brand,Nobrand,1,1,
simple,NOB-002,Nobrand T46,1,Tay cầm,Brand,Nobrand,1,1,
simple,NOB-003,Nobrand T411,1,Tay cầm,Brand,Nobrand,1,1,
simple,NOB-004,Nobrand Túi đựng,1,Phụ kiện,Brand,Nobrand,1,1,
simple,NOB-005,Nobrand Miếng dán chống trượt,1,Phụ kiện,Brand,Nobrand,1,1,
simple,GS-001,Gamesir T3 Lite - Trắng,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-002,Gamesir T3 Lite - Xám,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-003,Gamesir T3 Lite - Xanh lá,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-004,Gamesir Nova 2 Lite - Trắng/Đen,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-005,Gamesir Nova 2 Lite - Iron Man,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-006,Gamesir X5 Lite - Đen,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-007,Gamesir X5 Lite ZZZ - Đen/Trắng,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-008,Gamesir X5s - Đen,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-009,Gamesir X5s ZZZ - Đen/Trắng,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-010,Gamesir G7 Pro - Đen/Trắng,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-011,Gamesir G7 Pro 8K - Champion,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-012,Gamesir G7 Pro 8K - Aimlabs,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-013,Gamesir Tarantula CE,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-014,Gamesir Tarantula Pro,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-015,Gamesir G8+ - Đen,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-016,Gamesir G8+ - Màu Thanos/Hulk,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-017,Gamesir G8+ MFi,1,Tay cầm,Brand,Gamesir,1,1,
simple,GS-018,Gamesir Dock sạc Nova - Đen/Trắng,1,Phụ kiện,Brand,Gamesir,1,1,
simple,GS-019,Gamesir Sò lạnh FX5 Lite,1,Phụ kiện,Brand,Gamesir,1,1,
simple,GS-020,Gamesir Túi đựng,1,Phụ kiện,Brand,Gamesir,1,1,
simple,AOL-001,Aolion J20,1,Tay cầm,Brand,Aolion,1,1,
simple,AOL-002,Aolion J20 Lite,1,Tay cầm,Brand,Aolion,1,1,
simple,AOL-003,Aolion J20 Pro,1,Tay cầm,Brand,Aolion,1,1,
simple,AOL-004,Aolion NS-2288,1,Tay cầm,Brand,Aolion,1,1,
simple,AOL-005,Aolion Grip sạc - Đen/Trắng,1,Phụ kiện,Brand,Aolion,1,1,
simple,AOL-006,Aolion USB,1,Phụ kiện,Brand,Aolion,1,1,
simple,AOL-007,Aolion Túi đựng,1,Phụ kiện,Brand,Aolion,1,1,
simple,MOJ-001,Mojhon Storm,1,Tay cầm,Brand,Mojhon,1,1,
simple,MOJ-002,Mojhon Túi đựng,1,Phụ kiện,Brand,Mojhon,1,1,
